nm	n	k				
1112.5	1.966985	2.76E-4				
1115	1.96692	2.76E-4				
1117.5	1.966856	2.75E-4				
1120	1.966792	2.75E-4				
1122.5	1.966729	2.75E-4				
1125	1.966665	2.74E-4				
1127.5	1.966602	2.74E-4				
1130	1.96654	2.73E-4				
1132.5	1.966478	2.73E-4				
1135	1.966416	2.72E-4				
1137.5	1.966354	2.72E-4				
1140	1.966293	2.72E-4				
1142.5	1.966232	2.71E-4				
1145	1.966171	2.71E-4				
1147.5	1.966111	2.7E-4				
1150	1.966051	2.7E-4				
1152.5	1.965991	2.7E-4				
1155	1.965932	2.69E-4				
1157.5	1.965873	2.69E-4				
1160	1.965814	2.69E-4				
1162.5	1.965755	2.68E-4				
1165	1.965697	2.68E-4				
1167.5	1.965639	2.67E-4				
1170	1.965582	2.67E-4				
1172.5	1.965524	2.67E-4				
1175	1.965467	2.66E-4				
1177.5	1.96541	2.66E-4				
1180	1.965354	2.66E-4				
1182.5	1.965298	2.65E-4				
1185	1.965242	2.65E-4				
1187.5	1.965186	2.65E-4				
1190	1.96513	2.64E-4				
1192.5	1.965075	2.64E-4				
1195	1.96502	2.64E-4				
1197.5	1.964965	2.63E-4				
1200	1.964911	2.63E-4				
1202.5	1.964857	2.63E-4				
1205	1.964803	2.62E-4				
1207.5	1.964749	2.62E-4				
1210	1.964696	2.62E-4				
1212.5	1.964643	2.62E-4				
1215	1.964589	2.61E-4				
1217.5	1.964537	2.61E-4				
1220	1.964484	2.61E-4				
1222.5	1.964432	2.6E-4				
1225	1.96438	2.6E-4				
1227.5	1.964328	2.6E-4				
1230	1.964277	2.59E-4				
1232.5	1.964225	2.59E-4				
1235	1.964174	2.59E-4				
1237.5	1.964123	2.59E-4				
1240	1.964073	2.58E-4				
1242.5	1.964022	2.58E-4				
1245	1.963972	2.58E-4				
1247.5	1.963922	2.57E-4				
1250	1.963872	2.57E-4				
1252.5	1.963822	2.57E-4				
1255	1.963773	2.57E-4				
1257.5	1.963724	2.56E-4				
